NODE_ID	PARENT_ID	SNV_IDS	SNV_ALLELES	CNA_IDS	CNA_CHANGES	SAMPLE_IDS	SAMPLE_NODE_FREQUENCIES
ROOT	NONE					MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1108,0.1348,0.1639,0.1279,0.1308,0.0694,0.1378,0.0089,0.0491,0.1844,0.0705,0.0219,0.0947,0.1126,0.1159,0.1703,0.1689,0.1691,0.0884,0.0347,0.0321,0.0252,0.0669,0.0718,0.0689,0.0645,0.0503,0.0825,0.1133,0.1460,0.0770,0.1552,0.0429,0.1701,0.0725,0.0987,0.0477,0.0848,0.1649,0.0585,0.0586
0	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6	M,P,M,P,P,P,P	cna_mut53	(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1040,0.0433,0.1011,0.0234,0.0162,0.1490,0.1478,0.1173,0.1090,0.0245,0.0262,0.0357,0.1072,0.0497,0.1300,0.0759,0.0969,0.0115,0.0123,0.0771,0.0412,0.1384,0.1097,0.0330,0.1307,0.1573,0.1557,0.1612,0.0924,0.0398,0.0113,0.0803,0.1389,0.0815,0.1340,0.1097,0.0157,0.0171,0.1187,0.0739,0.1163
1	0	mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14	M,P,M,M,P,P,M,P			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0402,0.1069,0.0913,0.1353,0.0782,0.1241,0.1314,0.0793,0.0138,0.0251,0.0962,0.0962,0.1063,0.0917,0.0392,0.0103,0.0340,0.1555,0.1166,0.1143,0.0791,0.0708,0.0258,0.0753,0.0455,0.0612,0.0658,0.0035,0.0978,0.0487,0.0397,0.0772,0.0396,0.1012,0.0680,0.0051,0.0798,0.1403,0.0543,0.1124,0.0221
2	0	mut15,mut16,mut17,mut18,mut19,mut20,mut21,mut22,mut23,mut24,mut25,mut26,mut27	M,P,P,P,M,M,M,P,M,M,M,P,P	cna_mut49,cna_mut93	(0,1),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1091,0.0579,0.0356,0.1328,0.0390,0.0702,0.1204,0.0947,0.0930,0.1720,0.0586,0.1013,0.1234,0.0796,0.1554,0.1749,0.0793,0.0727,0.1396,0.1331,0.2175,0.0849,0.1261,0.0013,0.1106,0.0568,0.1096,0.1503,0.0838,0.0890,0.0832,0.1742,0.0086,0.0666,0.1181,0.1144,0.1856,0.0634,0.1347,0.1281,0.0350
3	1	mut28,mut29,mut30,mut31,mut32,mut33,mut34,mut35,mut36,mut37	M,M,P,P,M,P,M,P,M,P	cna_mut48	(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0230,0.1436,0.0946,0.0690,0.1601,0.0837,0.0127,0.0737,0.1543,0.0291,0.1556,0.1258,0.0709,0.0722,0.1345,0.0427,0.0741,0.0857,0.0852,0.0547,0.0202,0.1568,0.0291,0.0389,0.1277,0.0602,0.1144,0.1318,0.0258,0.1185,0.1026,0.0351,0.1718,0.0605,0.0240,0.0115,0.0430,0.1357,0.0528,0.0656,0.1056
4	0	mut38,mut39,mut40,mut41,mut42,mut43,mut44,mut45	M,P,M,P,P,M,P,M	cna_mut71,cna_mut50	(1,0),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0871,0.0989,0.1794,0.1320,0.1038,0.0498,0.1269,0.1571,0.0876,0.1341,0.0424,0.1658,0.1123,0.1354,0.1490,0.0726,0.1480,0.0093,0.1582,0.1244,0.0810,0.0966,0.1635,0.2009,0.1161,0.1672,0.0584,0.0494,0.1050,0.1151,0.1839,0.0788,0.1412,0.0394,0.0386,0.2146,0.1930,0.1101,0.1277,0.0043,0.0381
5	3	mut46,mut47,mut48,mut49,mut50,mut51,mut52,mut53,mut54,mut55,mut56	P,P,M,M,P,P,M,P,P,M,P	cna_mut63	(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0473,0.1210,0.1064,0.1099,0.0485,0.1455,0.0285,0.0383,0.0648,0.1432,0.0672,0.0274,0.0373,0.1163,0.0416,0.1152,0.0409,0.1202,0.1813,0.0844,0.2140,0.0855,0.1447,0.1515,0.0513,0.1341,0.0680,0.0323,0.1317,0.0486,0.1028,0.1108,0.1438,0.0925,0.0963,0.2405,0.1932,0.1484,0.0819,0.1438,0.1357
6	2	mut57,mut58,mut59,mut60,mut61,mut62,mut63,mut64,mut65,mut66	M,P,P,P,M,M,M,M,P,M	cna_mut97,cna_mut22	(0,-1),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1127,0.0936,0.0207,0.0461,0.1691,0.0668,0.1016,0.0691,0.1405,0.0671,0.1120,0.1738,0.1055,0.1283,0.0728,0.1086,0.0002,0.1021,0.0385,0.1139,0.0005,0.0357,0.0450,0.0208,0.0312,0.0646,0.1557,0.0872,0.0327,0.0661,0.0601,0.1404,0.0378,0.1126,0.1599,0.0226,0.0575,0.1214,0.0219,0.1638,0.0410
7	0	mut67,mut68,mut69,mut70,mut71,mut72,mut73,mut74,mut75,mut76,mut77,mut78,mut79	M,P,P,P,M,M,M,P,M,P,P,M,M			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1324,0.0482,0.0510,0.1407,0.0725,0.1191,0.0321,0.1461,0.1407,0.1048,0.1374,0.0906,0.0982,0.0211,0.0213,0.0458,0.1662,0.0726,0.0005,0.1085,0.0267,0.0598,0.1271,0.1095,0.0608,0.0255,0.1325,0.0573,0.0636,0.0980,0.1391,0.0367,0.1401,0.1491,0.0772,0.1176,0.0512,0.0009,0.1020,0.0516,0.1587
8	7	mut80,mut81,mut82,mut83,mut84,mut85,mut86,mut87,mut88,mut89	M,M,P,M,M,M,M,M,M,P			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1113,0.0619,0.1170,0.0243,0.1405,0.0145,0.0654,0.1385,0.0453,0.0847,0.1048,0.1276,0.0390,0.0479,0.0031,0.1410,0.1100,0.1540,0.0652,0.0346,0.0537,0.1339,0.1134,0.1233,0.1249,0.1457,0.0256,0.1285,0.1330,0.1032,0.1894,0.0055,0.0437,0.0411,0.0671,0.0027,0.0908,0.1156,0.1401,0.1039,0.1791
