NODE_ID	PARENT_ID	SNV_IDS	SNV_ALLELES	CNA_IDS	CNA_CHANGES	SAMPLE_IDS	SAMPLE_NODE_FREQUENCIES
ROOT	NONE					MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0218,0.0649,0.0593,0.0533,0.1129,0.1187,0.0520,0.1191,0.1230,0.0200,0.1548,0.1574,0.1135,0.1109,0.0396,0.0663,0.0588,0.1326,0.0752,0.0534,0.0314,0.0023,0.0721,0.0825,0.1706,0.0297,0.1468,0.0969,0.0236,0.0706,0.1162,0.0572,0.1286,0.0718,0.1187,0.1201,0.1373,0.1423,0.0290,0.0566,0.0553
0	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11,mut12	P,P,P,P,M,M,P,M,M,M,P,M,M	cna_mut32	(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0935,0.1976,0.0996,0.1213,0.0158,0.1310,0.0504,0.0558,0.0128,0.1356,0.0165,0.1049,0.1242,0.0500,0.0498,0.1250,0.1208,0.0809,0.0882,0.1516,0.0825,0.0818,0.0540,0.0888,0.1897,0.1467,0.1390,0.0860,0.1920,0.1038,0.0001,0.0478,0.1622,0.0041,0.0757,0.1479,0.0702,0.1339,0.0223,0.0112,0.1265
1	0	mut13,mut14,mut15,mut16,mut17,mut18,mut19,mut20	M,M,P,P,M,M,P,P	cna_mut11,cna_mut92,cna_mut73,cna_mut81	(1,0),(0,1),(0,1),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0529,0.0678,0.1136,0.0621,0.1021,0.1271,0.0985,0.1705,0.1054,0.1024,0.0594,0.0556,0.1286,0.1329,0.2646,0.0712,0.1064,0.0168,0.0548,0.0997,0.0236,0.1481,0.0352,0.1134,0.0551,0.1125,0.1623,0.0741,0.0421,0.0870,0.1099,0.1463,0.1612,0.0396,0.0733,0.0232,0.0301,0.1436,0.1454,0.0988,0.1475
2	1	mut21,mut22,mut23,mut24,mut25,mut26,mut27,mut28,mut29,mut30	P,P,P,M,M,P,P,M,P,P			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0994,0.0257,0.1410,0.0665,0.1712,0.0459,0.1146,0.1041,0.1210,0.0789,0.0757,0.1255,0.0755,0.1632,0.0755,0.1182,0.0801,0.1392,0.1308,0.0946,0.1422,0.1424,0.1782,0.1502,0.0011,0.1623,0.0977,0.1228,0.1524,0.0304,0.1374,0.0035,0.0221,0.0099,0.1178,0.0717,0.0247,0.0252,0.1713,0.2446,0.0919
3	1	mut31,mut32,mut33,mut34,mut35,mut36,mut37,mut38,mut39,mut40	P,P,M,M,P,P,P,P,M,P			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1339,0.0698,0.0680,0.1527,0.1142,0.1086,0.1835,0.1779,0.0828,0.1682,0.1016,0.0506,0.0198,0.0280,0.0963,0.0618,0.0858,0.1160,0.1601,0.0004,0.1436,0.0589,0.1403,0.0042,0.0524,0.1326,0.0269,0.0172,0.0483,0.1921,0.0665,0.1237,0.0606,0.0715,0.0711,0.1063,0.2094,0.0056,0.1537,0.1708,0.1172
4	1	mut41,mut42,mut43,mut44	P,M,M,M	cna_mut67,cna_mut86,cna_mut31	(0,1),(1,0),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0790,0.1118,0.1747,0.1127,0.0322,0.0018,0.1086,0.0878,0.1117,0.0039,0.1467,0.0666,0.1250,0.0055,0.1865,0.0399,0.1451,0.0729,0.0089,0.0431,0.1363,0.0755,0.0395,0.0872,0.1694,0.0244,0.0156,0.1135,0.2160,0.1111,0.2027,0.1304,0.0006,0.1338,0.1145,0.1490,0.0443,0.1435,0.0065,0.0491,0.0638
5	3	mut45,mut46,mut47,mut48,mut49,mut50,mut51,mut52,mut53,mut54,mut55,mut56,mut57	P,P,M,P,P,M,P,M,P,M,M,P,P	cna_mut69,cna_mut36,cna_mut1	(0,-1),(-1,0),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0765,0.1081,0.1438,0.0416,0.0459,0.1633,0.0451,0.1147,0.0855,0.0277,0.0912,0.1508,0.0517,0.1564,0.0024,0.1200,0.0960,0.0957,0.0710,0.1883,0.0917,0.0630,0.0846,0.1432,0.1939,0.0654,0.0031,0.1249,0.0847,0.1038,0.0067,0.0915,0.1203,0.0661,0.0730,0.0477,0.0258,0.0112,0.0660,0.0340,0.0307
6	3	mut58,mut59,mut60,mut61,mut62,mut63,mut64,mut65,mut66,mut67,mut68,mut69,mut70,mut71	P,M,M,M,M,P,P,P,M,P,P,P,M,P	cna_mut74,cna_mut37,cna_mut14	(0,1),(1,0),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0427,0.0724,0.0474,0.0932,0.1387,0.1157,0.0957,0.0553,0.0415,0.0429,0.0597,0.1332,0.1263,0.1552,0.1241,0.0295,0.0608,0.1739,0.0631,0.1106,0.0044,0.0893,0.0899,0.1361,0.0018,0.1435,0.1907,0.1341,0.0981,0.0087,0.1072,0.0492,0.1683,0.1349,0.0521,0.0610,0.1656,0.0901,0.1308,0.0465,0.0056
7	0	mut72,mut73,mut74,mut75,mut76,mut77,mut78,mut79,mut80	P,P,M,P,M,M,P,P,M	cna_mut84,cna_mut60	(-1,0),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1513,0.1145,0.0221,0.0721,0.0646,0.0929,0.0723,0.0014,0.1441,0.2207,0.1017,0.1136,0.0288,0.0894,0.1135,0.0950,0.0966,0.0434,0.0637,0.1009,0.1288,0.0876,0.0928,0.0086,0.0074,0.0777,0.0947,0.0311,0.0941,0.1046,0.0015,0.1122,0.0748,0.2078,0.1195,0.1378,0.1692,0.0580,0.1576,0.2332,0.1352
8	2	mut81,mut82,mut83,mut84,mut85,mut86,mut87,mut88	P,M,P,P,P,M,P,P	cna_mut90,cna_mut93,cna_mut49,cna_mut51	(-1,0),(1,0),(-1,0),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1290,0.1218,0.1002,0.1445,0.0621,0.0808,0.0265,0.0266,0.1320,0.1794,0.1085,0.0224,0.1009,0.0433,0.0393,0.1353,0.0308,0.0135,0.1515,0.0205,0.1179,0.1441,0.0632,0.1391,0.1550,0.0296,0.0389,0.0782,0.0093,0.1363,0.1625,0.1090,0.0564,0.1833,0.0782,0.1004,0.1213,0.0734,0.0802,0.0499,0.1261
